ID;Category;BackgroundColor;Character;Text;TextL;TextR;FollowUpIdL;FollowUpIdR;FollowUpStepL;FollowUpStepR;CultureL;EconomyL;EnvironmentL;SecurityL;TreasuryL;CultureR;EconomyR;EnvironmentR;SecurityR;TreasuryR
1300;Security;#D46A6A;Character4;there have been some accidents, some believe it was terrorist attacks.;no reason to overreact...;raise the police presence.;0;0;0;0;0;0;0;0;0;-5;0;0;5;-5
1301;Security;#D46A6A;Character4;people fear about their living standard after the crisis. If there are no raises they will ask us to lower the taxes.;more of the taxes can be shifted towards the employers;we can lower the taxes a bit... We still have spare money, right?;0;0;0;0;5;-10;0;15;0;5;0;0;10;-10
1302;Security;#D46A6A;Character4;we need to rework our health insurance system.;no we don't.;if you say so.;0;0;0;0;0;0;0;0;0;0;0;0;10;-15
1303;Security;#D46A6A;Character4;the introduction of the reformed recycling and waste disposal costs, contrary to our calculation, more than we can afford.;cut the recycling.;raise the fee for waste disposal.;0;0;0;0;0;0;-10;0;-5;0;0;15;-10;-5
1304;Security;#D46A6A;Character4;another bank files for insolvency. We need to help them out or a lot of people will lose their money.;we can't afford that.;we have no choice.;0;0;0;0;0;0;0;-15;0;0;0;0;15;-15
1305;Security;#D46A6A;Character4;the Great Celebration of Happiness draws near and our secret service found hints of a potential terrorist attack.;the celebration can't be canceled anymore. Increase safety measures.;the celebration must be canceled.;0;0;0;0;10;0;0;10;-10;-10;0;0;10;0
1306;Security;#D46A6A;Character4;because of a war far away, a lot of refugees flee to our nation. ;set up camps around the border, we will have to be careful.;our Nation was based on refugees, bid them welcome.;0;2006;0;-1;-5;0;0;5;-10;5;0;0;-5;-5
1307;Security;#D46A6A;Character4;some people want us to build a giant wall to stop illegal immigration.;why us? Our neighbours should build one.;are you kidding me?;0;0;0;0;-5;-5;-5;5;0;0;0;0;0;0
1308;Security;#D46A6A;Character4;we spend little money on military, if there is ever a war coming we will be in trouble.;war. War never changes.;every penny spend on warfare is a waste.;0;0;0;0;0;0;0;10;-20;0;0;0;0;0
COMMENT;;Follow Up;;;15;20;;;;;10;5;0;0;0;10;25;0;0;-15
2000;FollowUp;#9177AC;Character1;companies who introduced the 35 hours week register an increased productivity.;how is that still not a thing?;great!;0;0;0;0;0;10;0;0;0;0;10;0;0;0
2001;FollowUp;#9177AC;Character1;the phillarmonic hall we are building takes longer than anticipated. We need more funds to continue the construction.;cancel the project and salvage what's possible.;it will pay off eventually.;0;2002;0;-1;0;-10;0;0;0;0;10;0;0;-15
2002;FollowUp;#9177AC;Character1;the phillarmonic hall is done!;didn't think that day would come.;terrific!;0;0;0;0;10;5;0;0;0;10;5;0;0;0
2003;FollowUp;#9177AC;Character1;researches show it is way less damaging than alchohol and does't actually serve as a gateway drug.;I don't care about facts.;I don't see the reason we haven't done it yet.;0;0;0;0;-5;0;0;-5;0;10;0;0;10;10
2004;FollowUp;#9177AC;Character3;companies request more building space. There is still some forest left that we can free up.;they have to look somewhere else.;you can always regrow trees, right?;0;2005;0;-1;0;-10;10;0;0;0;10;-10;0;0
2005;FollowUp;#9177AC;Character1;the clearing of our forests worsened our air. We need to plant more trees to fight this trend.;I can't notice any difference.;definetly.;0;0;0;0;0;0;-15;0;0;5;0;10;0;-15
2006;FollowUp;#9177AC;Character4;some people from our nation are offended by all the refugees.;help their integration.;their unhapiness must come from somthing else.;0;0;0;0;5;0;0;0;-5;-5;0;0;0;0
2007;FollowUp;#9177AC;Character4;we could rework the health system again?;what other options are there?;yes, people love new health systems.;2008;0;0;0;0;0;0;0;0;5;-5;-5;5;-5
2008;FollowUp;#9177AC;Character3;we could hear out lobbyists so we know how to help our economy?;what other options are there?;brilliant!;2009;0;0;0;0;0;0;0;0;-5;10;-5;5;-5
2009;FollowUp;#9177AC;Character1;we could schudle a new holiday that is focused on creativity? Maybe?;what other options are there?;great idea, people should have more time to be creative.;2010;0;0;0;0;0;0;0;0;10;-10;5;-5;-5
2010;FollowUp;#9177AC;Character1;you are really streching me thin here...;how about dismissing some officials because our apparatus of state is inefficiently big?;how about doing something that actually needs work?;0;0;0;0;0;0;0;0;20;5;5;5;5;-5
2011;FollowUp;#9177AC;Character3;the costs to keep lower wage jobs in our country viable are every increasing. The living costs in our country don't allow it.;keep it up, the next election is close.;we have to focus on keeping development in our country, not production.;2011;0;-1;0;-5;10;0;5;-10;5;-5;5;-5;-10
